Date,Open,High,Low,Close,Volume
2021-01-04,177.516,185.971,177.516,185.971,726505.88187698
2021-01-05,185.2,190.169,184.584,188.07,502304.0426992
2021-01-07,192.799,206.164,191.942,206.164,851321.49294113
2021-01-08,207.118,211.037,199.771,203.016,1023995.8091687
2021-01-11,198.807,199.674,193.087,196.237,665837.98695963
2021-01-12,197.575,200.531,191.942,196.708,455578.27843744
2021-01-13,197.575,198.432,192.317,193.944,315757.17147182
2021-01-14,193.559,198.047,193.087,195.754,438829.23737205
2021-01-15,195.282,196.901,187.165,189.12,568323.03245255
2021-01-18,189.265,192.317,184.873,191.075,431542.48548689
2021-01-19,192.702,196.237,186.394,186.78,417287.78360181
2021-01-20,188.118,193.087,188.118,189.216,762245.96163067
2021-01-21,191.652,193.366,183.968,183.968,463307.40687997
2021-01-22,182.774,184.151,178.518,179.384,619842.2478618
2021-01-25,181.435,185.152,178.71,181.387,462636.57294555
2021-01-26,179.808,184.68,176.37,183.678,355113.10843858
2021-01-27,182.244,183.438,164.863,167.154,940251.64228438
2021-01-28,161.328,178.565,159.614,176.9,1016382.9862999
2021-01-29,173.789,184.776,167.346,179.904,1002693.1972017
2021-02-01,188.118,192.605,184.439,186.394,875462.16859659
2021-02-02,184.151,185.297,174.03,174.752,952995.41015309
2021-02-03,176.273,178.758,171.266,174.03,561365.46687886
2021-02-04,175.176,178.518,172.835,172.98,350204.39015995
2021-02-05,175.176,181.435,174.752,181.435,420769.68171652
2021-02-08,185.393,186.49,179.952,184.584,456584.52933907
2021-02-09,185.249,186.067,181.762,184.007,427721.01663448
2021-02-10,186.539,187.637,181.531,183.053,558851.39728872
2021-02-11,183.919,186.259,183.197,185.537,528184.10974809
2021-02-12,183.872,184.536,177.42,180.905,400205.40245446
2021-02-15,184.295,187.261,183.872,186.212,482705.51507647
2021-02-16,186.78,190.834,185.249,186.067,478437.51589619
2021-02-17,186.259,187.165,184.007,184.584,466871.3419619
2021-02-18,187.069,195.09,186.972,187.165,921958.43703869
2021-02-19,190.979,198.143,190.979,198.143,859248.96392465
2021-02-22,200.049,203.391,197.093,200.82,762499.34163067
2021-02-23,203.391,204.634,188.879,192.509,715706.07859841
2021-02-24,191.942,197.478,190.218,194.233,624441.51023879
2021-02-25,198.721,201.1,190.979,190.979,835927.61949868
2021-02-26,185.249,188.07,178.142,180.809,1229805.7910516
2021-03-01,184.536,186.212,180.954,186.212,556842.01081333
2021-03-02,184.776,187.492,183.776,185.49,446540.71229
2021-03-03,186.78,190.218,181.58,182.909,474626.43147001
2021-03-04,181.146,182.725,174.752,177.708,647840.73786148
2021-03-05,177.708,179.519,175.272,176.851,561254.3535182
2021-03-08,177.901,179.519,175.753,179.384,516621.05114166
2021-03-09,178.046,183.246,176.996,180.482,703508.53154937
2021-03-10,181.242,183.678,180.193,181.339,453630.1600768
2021-03-11,184.295,186.115,180.241,182.909,437542.60696223
2021-03-12,180.665,181.956,178.324,181.242,356289.66393037
2021-03-15,181.762,183.919,178.518,178.95,289912.41147211
2021-03-16,179.047,180.193,175.898,177.179,406965.66392979
2021-03-17,177.564,177.612,173.317,176.322,746350.52040134
2021-03-18,176.563,182.196,175.32,181.195,525676.27081369
2021-03-19,180.193,180.193,175.706,175.946,870561.75785894
2021-03-22,173.886,177.805,172.835,172.835,425187.2166345
2021-03-23,171.882,173.414,167.587,169.07,423563.09237223
2021-03-24,168.059,169.023,163.861,166.827,620413.39130441
2021-03-25,163.716,165.681,158.517,159.18,803154.37031873
2021-03-26,162.522,169.301,161.857,168.83,771685.40507318
2021-03-29,169.023,175.031,168.107,172.835,655774.43950073
2021-03-30,172.364,178.854,172.027,172.835,832523.60458069
2021-03-31,174.752,181.907,174.174,181.628,902277.87244875
2021-04-01,181.435,185.114,179.711,181.811,389717.13196278
2021-04-06,186.78,191.556,186.49,190.93,603742.23343575
2021-04-07,190.882,191.171,187.02,189.071,359091.38212706
2021-04-08,190.122,190.699,186.298,190.218,563840.07564932
2021-04-09,190.025,190.025,183.101,183.486,587417.91540315
2021-04-12,182.388,182.629,177.14,177.901,643408.66474677
2021-04-13,176.755,182.86,176.418,178.093,575252.56007542
2021-04-14,180.569,187.116,180.241,186.924,529812.38778085
2021-04-15,188.927,192.124,186.684,192.124,558266.75409201
2021-04-16,191.748,195.09,189.361,190.506,435666.14114258
2021-04-19,193.944,197.95,189.265,189.736,460889.91245377
2021-04-20,190.979,192.605,187.445,188.07,300944.82589821
2021-04-21,188.927,188.927,183.39,187.926,414011.49712644
2021-04-22,189.457,190.699,188.118,188.686,227481.24098102
2021-04-23,188.686,191.942,186.828,191.845,501391.25163364
2021-04-26,194.233,195.658,192.413,195.37,335587.27179946
2021-04-27,197.286,199.578,194.994,196.804,543203.10540365
2021-04-28,194.041,197.662,192.605,195.754,426820.68688039
2021-04-29,198.624,198.904,191.075,191.075,393980.97737256
2021-04-30,192.124,194.137,185.827,185.827,756353.83818811
2021-05-04,188.118,191.363,186.924,188.686,423091.63942141
2021-05-05,191.46,199.953,190.93,199.953,645427.39720577
2021-05-06,200.531,203.873,197.478,201.966,591547.80171458
2021-05-07,205.307,214.379,204.45,210.267,951913.35293998
2021-05-10,217.817,220.397,207.311,208.649,872121.4986786
2021-05-11,209.121,213.704,205.779,211.326,534250.6915513
2021-05-12,211.509,213.136,208.649,211.23,373263.00860231
2021-05-13,210.084,215.14,205.5,213.704,908090.03580934
2021-05-14,213.426,213.704,200.82,202.438,845156.25908874
2021-05-17,203.777,205.307,198.721,204.45,501111.91056807
2021-05-18,209.217,210.556,203.391,204.354,563126.66556736
2021-05-19,199.482,201.292,191.942,192.895,931178.76908776
2021-05-20,195.37,196.515,188.022,190.506,946203.99539907
2021-05-21,188.831,192.317,186.78,189.071,474950.42556836
2021-05-24,188.975,192.028,186.394,190.603,486856.17024036
2021-05-25,192.317,193.27,183.053,187.02,954333.96269406
2021-05-26,187.588,189.977,185.537,189.832,534805.21991195
2021-05-27,189.832,192.605,188.31,190.979,1656738.6297352
2021-05-28,191.46,194.32,190.979,193.752,1526570.8853925
2021-05-31,194.801,197.19,192.22,192.895,353278.18032385
2021-06-01,193.366,201.292,193.366,199.385,615715.47687824
2021-06-02,199.482,200.435,195.947,200.049,786971.28048285
2021-06-04,194.801,195.658,191.46,195.09,943130.20523517
2021-06-07,194.32,194.416,191.267,192.317,585400.22138678
2021-06-08,191.652,192.509,188.879,191.075,759147.24884382
2021-06-09,191.556,191.942,186.212,186.539,624970.07753387
2021-06-10,187.165,190.795,185.586,188.504,614856.68482907
2021-06-11,190.506,193.656,188.927,188.927,490216.57056819
2021-06-14,188.022,189.881,185.73,188.638,447971.68622441
2021-06-15,185.249,186.731,177.661,177.661,1156205.1317082
2021-06-16,176.659,179.047,174.319,177.14,912915.67867813
2021-06-17,174.752,175.657,168.83,170.881,1204144.8353961
2021-06-18,170.448,174.974,170.014,172.325,1597075.9472769
2021-06-21,171.411,177.958,168.137,176.61,604551.18023902
2021-06-22,178.152,179.115,175.118,178.103,645243.59286151
2021-06-23,181.04,183.785,176.755,182.485,530519.56720708
2021-06-24,179.692,183.545,179.5,182.918,393687.09811027
2021-06-25,182.966,185.422,181.426,182.678,356875.34556971
2021-06-28,182.003,183.159,179.018,180.944,440013.0619622
2021-06-29,180.222,180.896,177.285,178.778,468063.47409303
2021-06-30,179.355,182.581,177.958,180.703,549376.64679703
2021-07-01,181.04,187.3,180.173,186.24,685086.55941843
2021-07-02,186.24,187.059,183.929,184.074,267712.58507892
2021-07-05,185.374,187.588,183.688,184.363,198426.65483381
2021-07-06,187.155,187.588,179.596,179.596,271535.09237396
2021-07-07,182.003,186.144,180.703,184.604,375869.49958589
2021-07-08,183.545,183.641,176.322,177.958,657982.1685171
2021-07-09,178.585,181.859,178.585,180.848,317902.59393081
2021-07-12,180.559,180.992,178.633,178.633,283458.49057054
2021-07-13,179.692,181.377,178.44,180.463,231855.16130884
2021-07-14,179.596,182.533,179.596,180.318,228967.25237444
2021-07-15,181.04,183.304,178.729,182.533,295947.83999663
2021-07-16,183.111,183.351,178.44,179.885,189375.58893227
2021-07-19,178.633,178.97,173.385,174.781,483018.08630598
2021-07-20,174.974,176.755,170.062,174.444,338432.60458631
2021-07-21,174.878,179.933,173.673,177.911,410597.09778221
2021-07-22,179.115,183.159,178.488,178.825,383312.01786449
2021-07-23,179.788,183.592,179.788,183.159,370530.86606136
2021-07-26,184.796,187.492,183.545,186.721,465989.70417502
2021-07-27,186.721,187.492,182.966,187.492,444433.71220806
2021-07-28,186.289,186.915,184.314,185.518,198346.69475184
2021-07-29,186.915,193.077,186.529,193.077,658918.84376299
2021-07-30,190.67,192.5,186.819,187.396,479285.92351913
2021-08-02,188.504,189.803,187.733,188.744,130625.6975395
2021-08-03,189.611,191.585,185.662,189.034,465189.06491274
2021-08-04,189.707,192.5,188.793,190.911,395422.3357332
2021-08-05,190.189,190.189,187.059,187.541,354150.47212712
2021-08-06,189.707,190.478,187.107,187.3,373176.8178646
2021-08-09,187.3,188.407,181.522,181.522,370578.63442201
2021-08-10,182.533,185.807,181.522,185.326,275084.48925916
2021-08-11,184.41,185.662,182.052,184.94,474422.89671591
2021-08-12,185.759,186.674,183.592,184.796,246685.16040703
2021-08-13,184.989,185.615,183.207,184.796,183626.77057168
2021-08-16,182.87,183.111,180.173,180.655,280296.43278369
2021-08-17,180.944,184.17,177.862,179.162,477088.578929
2021-08-18,181.04,181.185,171.411,171.411,899972.52982582
2021-08-19,168.522,169.099,162.744,166.354,1061738.0062994
2021-08-20,167.27,167.751,163.803,165.922,547559.37220688
2021-08-23,168.329,171.411,166.788,170.592,676695.94302508
2021-08-24,171.892,174.203,169.532,173.914,555893.91269859
2021-08-25,173.289,173.77,171.266,173.432,371318.00556954
2021-08-26,172.084,172.71,170.544,170.544,258218.10417739
2021-08-27,171.411,174.299,169.87,174.299,336532.25458633
2021-08-30,175.262,176.61,173.192,174.011,394814.84679878
2021-08-31,174.299,175.455,170.207,171.7,901926.87884219
2021-09-01,170.448,170.448,166.74,167.896,631218.38679609
2021-09-02,168.233,169.918,166.018,168.473,534199.80786277
2021-09-03,169.292,171.459,167.992,170.254,378039.84466783
2021-09-06,170.207,174.107,169.726,174.107,245739.13917753
2021-09-07,173.144,173.144,168.907,170.158,414591.98655266
2021-09-08,170.014,170.158,166.836,166.836,382468.80245466
2021-09-09,166.981,170.254,166.981,169.436,368139.33270073
2021-09-10,170.495,174.685,170.158,173.722,520000.1434367
2021-09-13,174.299,174.974,170.64,171.651,509167.1099942
2021-09-14,170.929,170.978,167.992,167.992,703634.18310675
2021-09-15,168.137,171.555,167.751,170.254,638050.30081241
2021-09-16,168.522,169.196,163.321,164.622,910486.76138308
2021-09-17,165.632,166.499,161.203,161.444,1188578.5804783
2021-09-20,159.47,159.47,151.958,153.114,969119.30875946
2021-09-21,153.451,157.736,149.985,149.985,807459.75343343
2021-09-22,155.04,158.17,153.788,157.159,693538.44392653
2021-09-23,158.025,158.362,155.136,156.629,737507.14302439
2021-09-24,156.918,157.881,154.462,154.511,449861.65179816
2021-09-27,156.003,157.014,151.188,152.584,594554.09310799
2021-09-28,152.151,153.932,149.069,149.359,469145.53130614
2021-09-29,149.262,149.936,147.192,148.539,434313.05040489
2021-09-30,149.406,151.958,147.48,151.814,821803.76138409
2021-10-01,150.225,152.343,149.551,150.321,503623.90327296
2021-10-04,149.744,155.329,147.384,151.814,688435.53687741
2021-10-05,151.188,151.525,148.443,151.092,540103.35417418
2021-10-06,150.417,150.61,144.592,144.592,1042059.5185947
2021-10-07,145.891,151.862,145.891,149.744,1295246.3682639
2021-10-08,151.092,152.055,148.01,148.058,1099889.3498235
2021-10-11,149.84,158.699,149.647,158.699,1244564.1376088
2021-10-12,156.773,158.507,154.558,156.965,1049463.6144963
2021-10-13,156.965,159.71,155.57,156.533,975090.35384136
2021-10-14,161.01,163.514,159.614,161.203,1479626.0097373
2021-10-15,162.744,163.274,158.892,161.973,755715.19597501
2021-10-18,164.188,168.088,163.225,163.418,1041840.4072013
2021-10-19,167.078,167.751,160.963,161.781,775014.65212233
