Date,Open,High,Low,Close
2021-01-04,6.49197,6.49404,6.44146,6.44632
2021-01-05,6.45347,6.45707,6.41269,6.44333
2021-01-06,6.43601,6.44743,6.42723,6.44157
2021-01-07,6.44739,6.45755,6.43674,6.45755
2021-01-08,6.46639,6.47535,6.45288,6.46013
2021-01-11,6.47268,6.48923,6.46865,6.47751
2021-01-12,6.47497,6.47683,6.45498,6.45517
2021-01-13,6.44232,6.46053,6.44067,6.46016
2021-01-14,6.46503,6.47175,6.45826,6.45965
2021-01-15,6.46744,6.47763,6.46375,6.47719
2021-01-18,6.48578,6.50693,6.48091,6.50693
2021-01-19,6.49542,6.49732,6.48247,6.48434
2021-01-20,6.47565,6.47985,6.46305,6.47141
2021-01-21,6.46504,6.46784,6.45612,6.46389
2021-01-22,6.46664,6.48814,6.46505,6.48498
2021-01-25,6.49335,6.49655,6.48255,6.49317
2021-01-26,6.48759,6.49011,6.47798,6.48418
2021-01-27,6.47366,6.47935,6.46729,6.47837
2021-01-28,6.50364,6.51425,6.49091,6.49183
2021-01-29,6.47149,6.4799,6.45682,6.45892
2021-02-01,6.45492,6.47224,6.44408,6.47169
2021-02-02,6.47193,6.47514,6.45579,6.4589
2021-02-03,6.45995,6.46664,6.45616,6.46371
2021-02-04,6.45786,6.47015,6.45715,6.46718
2021-02-05,6.47219,6.48654,6.47116,6.47575
2021-02-08,6.45839,6.46195,6.44952,6.45142
2021-02-09,6.44544,6.44844,6.42205,6.42212
2021-02-10,6.41878,6.42865,6.41296,6.42745
2021-02-11,6.42796,6.43333,6.41881,6.42212
2021-02-12,6.42279,6.43754,6.42165,6.43425
2021-02-15,6.42141,6.42243,6.40106,6.40328
2021-02-16,6.40508,6.42011,6.4011,6.41396
2021-02-17,6.43169,6.44924,6.42937,6.44094
2021-02-18,6.43555,6.46482,6.43015,6.45593
2021-02-19,6.45975,6.46785,6.44335,6.44413
2021-02-22,6.45015,6.47335,6.44956,6.4671
2021-02-23,6.46422,6.46615,6.45416,6.4648
2021-02-24,6.4585,6.46374,6.44158,6.44158
2021-02-25,6.44748,6.45641,6.44465,6.44774
2021-02-26,6.49963,6.50796,6.46569,6.47374
2021-03-01,6.4719,6.47675,6.46495,6.47084
2021-03-02,6.46603,6.48348,6.46459,6.47935
