Date,Open,High,Low,Close,Volume
2001-01-02,108.16,109.8,106.93,106.93,3701
2001-01-03,108.16,110.61,107.75,109.8,15716
2001-01-04,113.89,120.45,113.08,117.18,108198
2001-01-05,116.77,117.99,113.89,115.53,51201
2001-01-08,111.44,116.77,111.44,115.95,17472
2001-01-09,116.35,117.18,115.13,117.18,28583
2001-01-10,117.18,117.18,112.67,113.89,47007
2001-01-11,110.61,114.71,110.61,114.71,38068
2001-01-12,113.49,116.77,113.08,116.35,68866
2001-01-15,116.35,116.35,115.13,115.53,15120
2001-01-16,114.71,117.18,114.71,116.77,15651
2001-01-17,115.95,116.77,114.71,115.95,36611
2001-01-18,115.95,116.77,113.89,113.89,52450
2001-01-19,114.71,117.99,114.71,117.99,29721
2001-01-22,118.81,119.22,115.95,116.35,27065
2001-01-23,115.95,117.99,115.13,117.99,26240
2001-01-24,116.35,117.99,115.95,116.77,7294
2001-01-25,116.35,117.99,115.13,115.13,21098
2001-01-26,114.71,114.71,113.89,114.31,23432
2001-01-29,113.89,117.18,113.89,115.95,15417
2001-01-30,115.53,117.18,115.53,116.77,7465
2001-01-31,117.18,119.63,116.77,119.22,58097
2001-02-01,118.4,118.81,116.35,116.35,14345
2001-02-02,117.99,118.81,117.18,117.58,36665
2001-02-05,115.95,116.35,113.89,113.89,11826
2001-02-06,113.08,115.53,113.08,115.53,52712
2001-02-07,113.08,113.49,110.61,110.61,61924
2001-02-08,110.61,113.08,110.61,112.67,39466
2001-02-09,111.03,113.49,111.03,111.03,48536
2001-02-12,110.21,110.61,107.34,108.16,26296
2001-02-13,108.98,108.98,105.71,106.93,28454
2001-02-14,107.34,108.16,106.12,107.34,19674
2001-02-15,106.12,108.98,106.12,107.34,92616
2001-02-16,108.16,108.98,104.88,105.29,77303
2001-02-19,106.53,106.53,104.88,105.29,17982
2001-02-20,105.71,106.53,103.24,103.24,16267
2001-02-21,103.24,104.88,98.744,103.24,38268
2001-02-22,101.19,104.47,101.19,103.24,26292
2001-02-23,104.88,105.71,104.06,104.88,42392
2001-02-26,106.53,106.93,104.88,104.88,15043
2001-02-27,105.29,105.71,101.19,103.24,30824
2001-02-28,102.43,103.24,99.97,101.61,57052
2001-03-01,99.149,101.19,98.329,98.329,36736
2001-03-02,99.149,99.97,96.688,98.329,43044
2001-03-05,99.97,99.97,96.688,99.55,13954
2001-03-06,99.97,102.43,98.744,100.37,9818
2001-03-07,100.37,102.01,100.37,101.61,14836
2001-03-08,99.55,102.84,99.55,102.01,9642
2001-03-09,102.43,102.43,99.149,100.79,16655
2001-03-12,98.744,99.55,95.867,97.509,27773
2001-03-13,92.593,96.688,92.593,95.055,50283
2001-03-14,96.688,98.329,92.593,98.329,49505
2001-03-15,96.277,99.55,96.277,98.329,26050
2001-03-16,98.744,99.97,97.509,98.329,25083
2001-03-19,98.329,99.149,98.329,99.149,9275
2001-03-20,99.149,99.97,95.456,95.867,42699
2001-03-21,95.456,96.688,92.593,93.002,42322
2001-03-22,93.412,93.412,89.725,91.772,53059
2001-03-23,92.593,94.641,92.182,94.641,17263
2001-03-26,96.277,96.277,95.055,95.456,46707
2001-03-27,95.055,95.055,91.772,94.641,28461
2001-03-28,95.055,95.867,93.002,94.641,26992
2001-03-29,94.232,95.055,91.772,92.593,15384
2001-03-30,93.002,95.456,93.002,95.055,21234
2001-04-02,95.055,95.055,92.593,94.641,20271
2001-04-03,94.232,94.232,92.182,92.182,19715
2001-04-04,91.363,91.772,89.725,90.544,48467
2001-04-05,91.363,93.412,90.954,92.182,39948
2001-04-06,92.593,95.867,91.772,95.867,70218
2001-04-09,95.055,99.149,95.055,98.329,40540
2001-04-10,97.509,101.61,97.509,98.744,22787
2001-04-11,100.79,100.79,98.329,98.744,10990
2001-04-12,98.329,98.329,94.641,96.688,16960
2001-04-17,95.867,96.688,95.456,96.688,13133
2001-04-18,98.329,100.79,98.329,100.79,32915
2001-04-19,102.01,106.53,101.61,105.71,56720
2001-04-20,104.06,106.53,103.65,104.88,8572
2001-04-23,104.06,106.12,104.06,105.71,7802
2001-04-24,105.71,106.12,104.47,104.88,8943
2001-04-25,104.88,104.88,104.06,104.47,8997
2001-04-26,103.24,106.53,100.79,102.43,41948
2001-04-27,102.43,102.43,98.329,98.329,53585
2001-04-30,98.329,98.329,96.277,98.329,12787
2001-05-02,98.744,104.88,97.509,99.149,26836
2001-05-04,98.744,98.744,95.867,95.867,14932
2001-05-07,95.867,97.099,92.593,92.593,31538
2001-05-08,93.002,93.002,91.363,91.772,35593
2001-05-09,90.954,92.593,90.954,92.593,27892
2001-05-10,92.593,94.641,92.593,93.412,20941
2001-05-11,94.641,97.921,93.822,95.867,30515
2001-05-14,95.867,95.867,93.822,95.055,16048
2001-05-15,95.055,95.055,93.412,93.822,34947
2001-05-16,92.593,93.412,88.496,90.954,84786
2001-05-17,92.593,93.412,88.086,88.496,92043
2001-05-18,88.905,90.954,88.086,90.544,34145
2001-05-21,90.954,95.055,90.954,95.055,48318
2001-05-22,97.099,98.329,95.055,96.277,47611
2001-05-23,95.867,98.329,95.456,98.329,20626
2001-05-24,97.921,97.921,96.277,96.688,11206
2001-05-25,96.688,96.688,94.232,95.055,19189
2001-05-28,92.593,93.002,92.182,93.002,4780
2001-05-29,93.002,93.822,93.002,93.822,12071
2001-05-30,92.593,93.412,91.772,93.002,14286
2001-05-31,92.182,94.232,91.772,94.232,38416
2001-06-01,94.232,97.099,93.822,97.099,40727
2001-06-04,96.688,97.509,94.641,94.641,17805
2001-06-05,95.055,95.867,94.641,95.055,23444
